date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:58	41964/41964	---M--	200	added ('OK')	application/javascript	etag:%22a3ec-58ceb80d1f580%22	http://hienle.demo.123corp.vn/steeldoor/js/jssor.slider.min.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/js/jssor.slider.min.js	(from http://hienle.demo.123corp.vn/steeldoor/)
15:50:03	31967/31967	---M--	200	added ('OK')	image/jpeg	etag:%227cdf-58d25e8c3b680%22	http://hienle.demo.123corp.vn/steeldoor/img/2006.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/2006.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:04	31380/31380	---M--	200	added ('OK')	image/jpeg	etag:%227a94-58d25f5669380%22	http://hienle.demo.123corp.vn/steeldoor/img/2007.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/2007.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:08	31774/31774	---M--	200	added ('OK')	image/jpeg	etag:%227c1e-58d25f5e0a580%22	http://hienle.demo.123corp.vn/steeldoor/img/2008.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/2008.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:09	31653/31653	---M--	200	added ('OK')	image/jpeg	etag:%227ba5-58d25f65ab780%22	http://hienle.demo.123corp.vn/steeldoor/img/2009.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/2009.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:09	94259/94259	---M--	200	added ('OK')	image/jpeg	etag:%2217033-58d271d0a2b80%22	http://hienle.demo.123corp.vn/steeldoor/img/pd-05-color-b-1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/pd-05-color-b-1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gio-hang.html)
15:50:13	32333/32333	---M--	200	added ('OK')	image/jpeg	etag:%227e4d-58d25f6d4c980%22	http://hienle.demo.123corp.vn/steeldoor/img/2015.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/2015.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:13	22816/22816	---M--	200	added ('OK')	image/jpeg	etag:%225920-58d26059cf780%22	http://hienle.demo.123corp.vn/steeldoor/img/gt1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:15	41264/41264	---M--	200	added ('OK')	image/jpeg	etag:%22a130-58d25fa0cc300%22	http://hienle.demo.123corp.vn/steeldoor/img/hsnl.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/hsnl.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:16	12462/12462	---M--	200	added ('OK')	image/jpeg	etag:%2230ae-58d2606911b80%22	http://hienle.demo.123corp.vn/steeldoor/img/gt3.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt3.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:20	44621/44621	---M--	200	added ('OK')	image/png	etag:%22ae4d-58d2605f88500%22	http://hienle.demo.123corp.vn/steeldoor/img/gt2.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt2.png	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:21	157491/157491	---M--	200	added ('OK')	image/jpeg	etag:%2226733-58d25c3923a80%22	http://hienle.demo.123corp.vn/steeldoor/img/bn-gt.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/bn-gt.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:21	28572/28572	---M--	200	added ('OK')	image/png	etag:%226f9c-58d2607853f80%22	http://hienle.demo.123corp.vn/steeldoor/img/gt5.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt5.png	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:22	40011/40011	---M--	200	added ('OK')	image/jpeg	etag:%229c4b-58d26070b2d80%22	http://hienle.demo.123corp.vn/steeldoor/img/gt4.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt4.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:22	11362/11362	---M--	200	added ('OK')	image/jpeg	etag:%222c62-58d26083c5a80%22	http://hienle.demo.123corp.vn/steeldoor/img/gt6.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt6.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:22	8969/8969	---M--	200	added ('OK')	image/jpeg	etag:%222309-58d2608d4f100%22	http://hienle.demo.123corp.vn/steeldoor/img/gt7.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/gt7.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:39	100160/100160	---M--	200	added ('OK')	image/jpeg	etag:%2218740-58d261c61d300%22	http://hienle.demo.123corp.vn/steeldoor/img/tc3.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/tc3.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:41	118822/118822	---M--	200	added ('OK')	image/png	etag:%221d026-58d261be7c100%22	http://hienle.demo.123corp.vn/steeldoor/img/tc2.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/tc2.png	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:44	31958/31958	---M--	200	added ('OK')	image/jpeg	etag:%227cd6-58d263ae65300%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:48	38099/38099	---M--	200	added ('OK')	image/jpeg	etag:%2294d3-58d263b7ee980%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp2.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp2.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:48	162775/162775	---M--	200	added ('OK')	image/jpeg	etag:%2227bd7-58d261b6daf00%22	http://hienle.demo.123corp.vn/steeldoor/img/tc1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/tc1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:50	38036/38036	---M--	200	added ('OK')	image/jpeg	etag:%229494-58d263bf8fb80%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp3.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp3.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:55	41075/41075	---M--	200	added ('OK')	image/jpeg	etag:%22a073-58d263d2a2880%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp5.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp5.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:56	37214/37214	---M--	200	added ('OK')	image/jpeg	etag:%22915e-58d263da43a80%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp6.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp6.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:57	60755/60755	---M--	200	added ('OK')	image/jpeg	etag:%22ed53-58d263c919200%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp4.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp4.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:50:59	38371/38371	---M--	200	added ('OK')	image/jpeg	etag:%2295e3-58d263dffc800%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp7.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp7.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:51:04	50439/50439	---M--	200	added ('OK')	image/jpeg	etag:%22c507-58d263ef3ec00%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp9.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp9.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:51:04	42110/42110	---M--	200	added ('OK')	image/jpeg	etag:%22a47e-58d263f6dfe00%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp10.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp10.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:51:07	44166/44166	---M--	200	added ('OK')	image/jpeg	etag:%22ac86-58d263fe81000%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp11.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp11.jpg	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:51:07	26399/26399	---M-Z	200	added ('OK')	text/html	etag:%22671f-58d499adf2e80-gzip%22	http://hienle.demo.123corp.vn/steeldoor/tin-tuc-chi-tiet.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/tin-tuc-chi-tiet.html	(from http://hienle.demo.123corp.vn/steeldoor/tin-tuc.html)
15:51:08	22605/22605	---M--	200	added ('OK')	image/jpeg	etag:%22584d-58d36daabdd00%22	http://hienle.demo.123corp.vn/steeldoor/img/blog1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/blog1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/blog.html)
15:51:08	18595/18595	---M-Z	200	added ('OK')	text/html	etag:%2248a3-58d49cdc63000-gzip%22	http://hienle.demo.123corp.vn/steeldoor/video-chi-tiet.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/video-chi-tiet.html	(from http://hienle.demo.123corp.vn/steeldoor/video.html)
15:51:09	23045/23045	---M--	200	added ('OK')	image/jpeg	etag:%225a05-58d36db25ef00%22	http://hienle.demo.123corp.vn/steeldoor/img/blog2.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/blog2.jpg	(from http://hienle.demo.123corp.vn/steeldoor/blog.html)
15:51:09	26268/26268	---M-Z	200	added ('OK')	text/html	etag:%22669c-58d3bcdfc3c80-gzip%22	http://hienle.demo.123corp.vn/steeldoor/cong-trinh-chi-tiet.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/cong-trinh-chi-tiet.html	(from http://hienle.demo.123corp.vn/steeldoor/cong-trinh.html)
15:51:14	30863/30863	---M--	200	added ('OK')	image/jpeg	etag:%22788f-58d37b8851380%22	http://hienle.demo.123corp.vn/steeldoor/img/ct1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ct1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/cong-trinh.html)
15:51:20	34283/34283	---M--	200	added ('OK')	image/jpeg	etag:%2285eb-58d37c5837e00%22	http://hienle.demo.123corp.vn/steeldoor/img/tdung1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/tdung1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/tuyen-dung.html)
15:51:24	179385/179385	---M--	200	added ('OK')	image/png	etag:%222bcb9-58d263e79da00%22	http://hienle.demo.123corp.vn/steeldoor/img/ttsp8.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/ttsp8.png	(from http://hienle.demo.123corp.vn/steeldoor/gioi-thieu.html)
15:51:24	25413/25413	---M-Z	200	added ('OK')	text/html	etag:%226345-58d3c22072100-gzip%22	http://hienle.demo.123corp.vn/steeldoor/quy-trinh-tuyen-dung-chi-tiet.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/quy-trinh-tuyen-dung-chi-tiet.html	(from http://hienle.demo.123corp.vn/steeldoor/quy-trinh-tuyen-dung.html)
15:51:24	24824/24824	---M-Z	200	added ('OK')	text/html	etag:%2260f8-58d3bae098680-gzip%22	http://hienle.demo.123corp.vn/steeldoor/co-hoi-nghe-nghiep-chi-tiet.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/co-hoi-nghe-nghiep-chi-tiet.html	(from http://hienle.demo.123corp.vn/steeldoor/co-hoi-nghe-nghiep.html)
15:51:27	36208/36208	---M--	200	added ('OK')	image/jpeg	etag:%228d70-58d37c5fd9000%22	http://hienle.demo.123corp.vn/steeldoor/img/tdung2.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/tdung2.jpg	(from http://hienle.demo.123corp.vn/steeldoor/tuyen-dung.html)
15:51:28	25032/25032	---M--	200	added ('OK')	image/jpeg	etag:%2261c8-58d37da418d00%22	http://hienle.demo.123corp.vn/steeldoor/img/chnn1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/chnn1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/co-hoi-nghe-nghiep.html)
